ID,Product Name,Category,Price (INR),Tax Rate (%),Description,Image URL/Path
121,"Filter Coffee","Beverages",60.00,5.00,"Fresh Filter Coffee","/products/filter_coffee.png"
124,"Fresh Lime Soda","Beverages",80.00,5.00,"Fresh Fresh Lime Soda","/products/fresh_lime_soda.png"
122,"Mango Lassi","Beverages",100.00,5.00,"Fresh Mango Lassi","/products/mango_lassi.png"
120,"Masala Chai","Beverages",40.00,5.00,"Fresh Masala Chai","/products/masala_chai.jpg"
123,"Sweet Lassi","Beverages",80.00,5.00,"Fresh Sweet Lassi","/products/sweet_lassi.jpg"
127,"Aloo Paratha","Breakfast",100.00,5.00,"Fresh Aloo Paratha","/products/aloo_paratha.jpg"
126,"Idli Sambar","Breakfast",80.00,5.00,"Fresh Idli Sambar","/products/idli_sambar.jpg"
125,"Masala Dosa","Breakfast",120.00,5.00,"Fresh Masala Dosa","/products/masala_dosa.jpg"
128,"Poha","Breakfast",60.00,5.00,"Fresh Poha","/products/poha.jpg"
129,"Upma","Breakfast",70.00,5.00,"Fresh Upma","/products/upma.jpg"
133,"Gajar Halwa","Desserts",100.00,5.00,"Fresh Gajar Halwa","/products/gajar_halwa.jpg"
130,"Gulab Jamun","Desserts",80.00,5.00,"Fresh Gulab Jamun","/products/gulab_jamun.jpg"
132,"Jalebi","Desserts",60.00,5.00,"Fresh Jalebi","/products/jalebi.jpg"
131,"Rasgulla","Desserts",70.00,5.00,"Fresh Rasgulla","/products/rasgulla.jpg"
134,"Rasmalai","Desserts",120.00,5.00,"Fresh Rasmalai","/products/rasmalai.webp"
138,"Butter Chicken","Main Course",320.00,5.00,"Fresh Butter Chicken","/products/butter_chicken.jpg"
140,"Butter Naan","Main Course",50.00,5.00,"Fresh Butter Naan","/products/butter_naan.jpg"
136,"Dal Makhani","Main Course",220.00,5.00,"Fresh Dal Makhani","/products/dal_makhani.jpg"
139,"Palak Paneer","Main Course",260.00,5.00,"Fresh Palak Paneer","/products/palak_paneer.jpg"
135,"Paneer Butter Masala","Main Course",280.00,5.00,"Fresh Paneer Butter Masala","/products/paneer_butter_masala.jpg"
137,"Veg Biryani","Main Course",250.00,5.00,"Fresh Veg Biryani","/products/veg_biryani.jpg"
142,"Chole Bhature","Snacks",150.00,5.00,"Fresh Chole Bhature","/products/chole_bhature.jpeg"
147,"Dahi Vada","Snacks",90.00,5.00,"Fresh Dahi Vada","/products/dahi_vada.jpg"
146,"Masala Maggi","Snacks",80.00,5.00,"Fresh Masala Maggi","/products/masala_maggi.jpg"
143,"Pani Puri","Snacks",60.00,5.00,"Fresh Pani Puri","/products/pani_puri.jpg"
144,"Pav Bhaji","Snacks",120.00,5.00,"Fresh Pav Bhaji","/products/pav_bhaji.jpg"
141,"Samosa","Snacks",40.00,5.00,"Fresh Samosa","/products/samosa.jpg"
145,"Vada Pav","Snacks",50.00,5.00,"Fresh Vada Pav","/products/vada_pav.jpeg"
